player_id,stats_perform_id,first_name,last_name,display_name,teamshort,pos,jersey_no,nationality_primary,height_cm,weight_kg,birth_date,birth_place,height_ft,weight_lb
344f4d25-a58d-41e1-b203-cedd602418f8,612537.0,Aleksandar,Milanovic,Aleksandar Milanovic,vik,Offensive Tackle,61,AUSTRIAN,200.0,126.0,1991-11-11,,"6'6""",278
a46db98c-3936-4b8f-b814-69ebe44450c4,1584991.0,Andy,Vera Puentenueva,Andy Vera,bth,Cornerback,25,Spanish,170.0,81.0,1998-10-27,"Badajoz, Spain","5'6""",179
409d3c94-3a90-4624-a0ad-6f41c26fecb4,1586198.0,Christopher,Wartenberg,Christopher Wartenberg,bth,Offensive Tackle,69,German,179.0,139.0,1995-03-12,Berlin,"5'10""",306
459c2089-4e47-4fdb-958b-e5c844923e92,1583579.0,Daniel,Piątkowski,Daniel Piątkowski,wpa,Strong Safety,19,Polish,187.0,95.0,1998-10-02,"Wrocław, Poland","6'1""",209
df7d782a-bbc9-434e-96e8-4dfcee1c5475,1584106.0,Exavier,Edwards,Exavier Edwards,par,Cornerback,7,American,177.0,88.0,1991-11-23,United States,"5'9""",194
0b850999-c144-4bfa-946f-361235002245,1584964.0,Elvys Ramon,Nuñez Vargas,Elvys Nuñez,par,Center,64,SPANISH,188.0,142.0,1998-05-11,,"6'2""",313
1ed9a68e-49d6-4e69-88cb-5bc17bfccb50,1583818.0,Bais,Kouanda,Bais Kouanda,bth,Wide Receiver,3,German,178.0,80.0,2002-04-18,Hamburg,"5'10""",176
a0e59a25-39e3-4d50-87f7-1d8ba698b989,1585936.0,Grzegorz,Lary,Grzegorz Lary,wpa,Cornerback,27,Polish,183.0,77.0,1998-09-15,"Wrocław, Poland","6'0""",170
d34a364f-39f8-435e-8e43-bf76293b1eca,1583589.0,Adam,Lary,Adam Lary,wpa,Cornerback,25,Polish,184.0,84.0,1991-09-14,"Wrocław, Poland","6'0""",185
f45f0a51-8b00-4190-a493-b19a99b28080,1583708.0,Albert,Wiesigstrauch,Albert Wiesigstrauch,vik,Running Back,22,GERMAN,172.0,82.0,2002-01-22,,"5'7""",181
cc89ff1f-2e1e-4886-9d91-b67c6206aa9e,1583721.0,Ben,Wenzler,Ben Wenzler,wpa,Cornerback,33,German,183.0,83.0,2000-08-02,"Stuttgart, Germany","6'0""",183
529fe919-dc37-4180-bf12-42d06fb3e6b5,1583588.0,Dawid,Brzozowski,Dawid Brzozowski,wpa,Running Back,22,Polish,179.0,95.0,2001-01-29,"Bracciano, Italy","5'10""",209
febd6b62-f840-4498-973a-3c31dac96078,1583829.0,Ferras,El-Hendi,Ferras El-Hendi,bth,Quarterback,19,German,193.0,95.0,1996-05-24,"Dresden, Germany","6'3""",209
6a089869-c8aa-4044-9693-9d4eefcf4335,1583854.0,Florian,Sudi,Florian Sudi,vik,Defensive Tackle,95,Austrian,197.0,140.0,1997-07-18,Feldbach,"6'5""",309
0c8ef606-3a0e-4672-ab91-bfe1bcedc7f5,1583577.0,Adrian,Gródecki,Adrian Gródecki,wpa,Wide Receiver,18,Polish,185.0,81.0,1998-01-06,"Wrocław, Poland","6'0""",179
